08.11.2019 09:51:12.292 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@b72d3d6
08.11.2019 09:51:12.292 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@b72d3d6
08.11.2019 09:51:12.292 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@1f9c9be0
08.11.2019 09:51:12.292 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@1f9c9be0
08.11.2019 09:51:12.292 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@1f9c9be0
08.11.2019 09:51:12.292 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@2cfe24ca
08.11.2019 09:51:12.292 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@2cfe24ca
08.11.2019 09:51:12.292 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@328208c0
08.11.2019 09:51:12.292 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@328208c0
08.11.2019 09:51:12.292 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@568ebed6
08.11.2019 09:51:12.292 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@568ebed6
08.11.2019 09:51:12.292 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@2f9a5fa5
08.11.2019 09:51:12.292 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@bd01624
08.11.2019 09:51:12.292 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@56f7307b
